memory,time,conversation_index,session_id,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
graphiti,1763918850.5676565,0,1,633749165542.3191,8290986610307.999,63757335932.203674,559391033393.5828,0.0,910885086.8418543,35853856.743748836,2073631962.7572525,130796,7.08e-05,309.69477820396423,309,200,50,1000,0,0,0,0,0
graphiti,1763919269.6476836,0,2,1207178856543.3345,10709964198398.408,48511112933.21423,542471921872.42206,0.0,935903246.452276,898031006.923758,16158920600.358414,194590,0.0001236,417.03940415382385,417,200,50,1000,0,0,0,0,0
graphiti,1763919882.7393088,0,3,2620666048468.8506,15037931177654.053,65726997760.41886,771336778083.2993,37416758.55737693,1555265314.4131167,2726626755.2475286,48180922547.04921,312026,0.00019092000000000002,611.0458478927612,611,200,50,1000,0,0,0,0,0
graphiti,1763920331.0531642,0,4,1434565182862.9207,7292392360516.85,49974356114.94167,578210496080.3588,23563873.79775296,1167639209.132585,2316650082.696624,29197164529.46073,216371,0.00013856,446.27206444740295,446,200,50,1000,0,0,0,0,0
graphiti,1763920727.2948546,0,5,1101102368061.0676,5384738388702.284,46977263470.456825,521817068060.58856,3745057.2213740335,717761569.8727733,1643514185.8015265,20973982993.374046,174368,0.00010996000000000001,394.2045395374298,394,200,50,1000,0,0,0,0,0
graphiti,1763921085.8177083,0,6,916889045025.3518,4636966460687.323,40690690370.15731,473658029665.79785,0.0,802169316.5971823,1224798775.9999983,17449848317.859135,181573,0.00011632,356.4903390407562,356,200,50,1000,0,0,0,0,0
graphiti,1763921700.4051692,0,7,2637076724896.8843,14096545986874.01,69407651786.45755,817427709831.5289,0.0,2121725559.8297932,3064591852.0261803,56165853060.70703,326447,0.00018212,612.5404472351074,612,200,50,1000,0,0,0,0,0
graphiti,1763922623.3363636,0,8,5909306554298.14,30589354928835.86,109499577321.7391,1248313912542.608,0.0,6960546291.18607,6253024115.342771,125033828004.78755,463550,0.00027728,920.8605120182037,920,200,50,1000,0,0,0,0,0
graphiti,1763922969.590814,0,9,904963539965.0131,4316335446763.8535,45601288418.23248,479982633591.06946,0.0,1767072197.78426,2706012575.626815,18864712893.667645,169525,0.00010956,344.21849036216736,344,200,50,1000,0,0,0,0,0
graphiti,1763923545.167287,0,10,2345584851319.9272,12004977171540.213,81909421833.38214,802914889985.3414,0.0,2394772895.328673,3526564959.629355,49307881762.673096,288385,0.00016148,573.5321514606476,573,200,50,1000,0,0,0,0,0
graphiti,1763924048.860503,0,11,1757119754058.0,7745323590726.0,72227080212.43913,705026028460.1989,0.0,3146224336.896005,2400923263.0020056,36576544501.854034,244046,0.00015904000000000002,501.6524052619934,501,200,50,1000,0,0,0,0,0
graphiti,1763924653.5341861,0,12,2572375809517.4717,11246295375780.34,86355171919.9467,849298008928.106,0.0,2920408552.99833,3184389110.9084873,50024083672.506004,233723,0.0001312,602.6300117969513,602,200,50,1000,0,0,0,0,0
graphiti,1763925403.0243516,0,13,3881120443697.052,13381180477878.012,107385147287.81789,1053622861878.8341,0.0,4385961802.809633,3588257607.707779,53043765896.42498,226677,0.00013652,747.4354403018951,747,200,50,1000,0,0,0,0,0
graphiti,1763926256.812442,0,14,5009968432444.671,19462782102256.5,122647025016.6296,1206465829496.9314,0.0,6078807774.870583,4076148142.304697,87807689875.23654,440802,0.00026804000000000004,851.7235040664673,851,200,50,1000,0,0,0,0,0
graphiti,1763926879.215962,0,15,2764992877932.145,11755566212665.615,91633495588.33563,878273722156.5907,0.0,4703338734.21649,4359098632.245552,57020920476.5751,305930,0.00019248000000000003,620.3559303283691,620,200,50,1000,0,0,0,0,0
graphiti,1763927461.7103791,0,16,2390484122348.8774,10434669753920.56,87999562066.97894,820687233885.5728,0.0,3276296595.233169,3001595817.2020974,49290941690.22448,297082,0.0001842,580.444623708725,580,200,50,1000,0,0,0,0,0
graphiti,1763928052.7383358,0,17,2447595315066.4424,10853696197001.686,89623345507.26515,839904669828.3541,0.0,3186110010.4395204,2905763398.487216,51535281921.28116,310076,0.00017864,588.9761226177216,588,200,50,1000,0,0,0,0,0
graphiti,1763928608.5715187,0,18,2202534369126.814,9781078931673.924,84323652087.66731,795077436051.2122,0.0,4545678721.855069,2998816733.0688353,45698262993.60494,262046,0.00014068000000000002,553.7874219417572,553,200,50,1000,0,0,0,0,0
graphiti,1763929014.7650793,0,19,1181079328684.8616,5146230445171.209,61713741722.61388,584735223706.6135,0.0,1108426060.8635232,1746237980.238213,25334568473.905655,178679,9.964000000000002e-05,404.1464412212372,404,200,50,1000,0,0,0,0,0
